Country,State ,City,Station,Last_Update,Latitude,Longitude,Pollutant_ID,Pollutant_Min,Pollutant_Max,Pollutant_Avg,Pollution Range,Pollution Category
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",05-02-2026 14:00,29.503664,75.467934,SO2,10,11,10,1,Good
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",05-02-2026 14:00,28.422681,77.148944,PM2.5,NA,NA,NA,0,Severe
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",05-02-2026 14:00,23.023389,72.515201,SO2,5,94,17,89,Good
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",05-02-2026 14:00,21.613267,73.010555,PM2.5,83,143,97,60,Moderate
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",05-02-2026 14:00,21.613267,73.010555,PM10,98,126,107,28,Poor
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",05-02-2026 14:00,21.755417,72.139056,PM10,102,123,109,21,Poor
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",05-02-2026 14:00,21.755417,72.139056,CO,116,119,117,3,Poor
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",05-02-2026 14:00,23.163798,72.677768,PM2.5,40,209,124,169,Poor
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",05-02-2026 14:00,28.593883,76.270653,NO2,9,23,15,14,Good
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",05-02-2026 14:00,28.593883,76.270653,SO2,10,11,10,1,Good
